BuiltMolecule,bond_lenght,bond_Angle,DFT-b3lyp,NN-Functional.DM21m
cc-pVDZ,1.08,95,-76.36603621,
cc-pVDZ,1.08,96,-76.36618998,
cc-pVDZ,1.08,97,-76.36629272,
cc-pVDZ,1.08,98,-76.36634514,
cc-pVDZ,1.08,99,-76.36634796,
cc-pVDZ,1.08,100,-76.3663019,
cc-pVDZ,1.08,101,-76.3662077,
cc-pVDZ,1.08,102,-76.3660661,
cc-pVDZ,1.08,103,-76.36587783,
cc-pVDZ,1.08,104,-76.36564365,
cc-pVDZ,1.08,105,-76.36536432,
cc-pVDZ,1.08,106,-76.36504059,
cc-pVDZ,1.08,107,-76.36467323,
cc-pVDZ,1.08,108,-76.36426302,
cc-pVDZ,1.08,109,-76.36381075,
cc-pVDZ,1.08,110,-76.3633172,
cc-pVDZ,1.08,111,-76.36278318,
cc-pVDZ,1.08,112,-76.3622095,
cc-pVDZ,1.08,113,-76.36159699,
cc-pVDZ,1.1,95,-76.36041372,
cc-pVDZ,1.1,96,-76.36053355,
cc-pVDZ,1.1,97,-76.36060353,
cc-pVDZ,1.1,98,-76.36062434,
cc-pVDZ,1.1,99,-76.36059665,
cc-pVDZ,1.1,100,-76.36052114,
cc-pVDZ,1.1,101,-76.36039849,
cc-pVDZ,1.1,102,-76.36022939,
cc-pVDZ,1.1,103,-76.36001452,
cc-pVDZ,1.1,104,-76.35975458,
cc-pVDZ,1.1,105,-76.35945026,
cc-pVDZ,1.1,106,-76.35910227,
cc-pVDZ,1.1,107,-76.35871131,
cc-pVDZ,1.1,108,-76.3582781,
cc-pVDZ,1.1,109,-76.35780336,
cc-pVDZ,1.1,110,-76.35728781,
cc-pVDZ,1.1,111,-76.3567322,
cc-pVDZ,1.1,112,-76.35613727,
cc-pVDZ,1.1,113,-76.35550378,
cc-pVDZ,1.12,95,-76.35423127,
cc-pVDZ,1.12,96,-76.35431998,
cc-pVDZ,1.12,97,-76.35436004,
cc-pVDZ,1.12,98,-76.35435206,
cc-pVDZ,1.12,99,-76.35429668,
cc-pVDZ,1.12,100,-76.35419453,
cc-pVDZ,1.12,101,-76.35404622,
cc-pVDZ,1.12,102,-76.35385239,
cc-pVDZ,1.12,103,-76.35361367,
cc-pVDZ,1.12,104,-76.35333068,
cc-pVDZ,1.12,105,-76.35300406,
cc-pVDZ,1.12,106,-76.35263446,
cc-pVDZ,1.12,107,-76.3522225,
cc-pVDZ,1.12,108,-76.35176886,
cc-pVDZ,1.12,109,-76.35127418,
cc-pVDZ,1.12,110,-76.35073913,
cc-pVDZ,1.12,111,-76.35016439,
cc-pVDZ,1.12,112,-76.34955064,
cc-pVDZ,1.12,113,-76.34889858,
cc-pVDZ,1.14,95,-76.34757414,
cc-pVDZ,1.14,96,-76.34763451,
cc-pVDZ,1.14,97,-76.3476474,
cc-pVDZ,1.14,98,-76.34761339,
cc-pVDZ,1.14,99,-76.34753305,
cc-pVDZ,1.14,100,-76.34740694,
cc-pVDZ,1.14,101,-76.34723565,
cc-pVDZ,1.14,102,-76.34701973,
cc-pVDZ,1.14,103,-76.34675976,
cc-pVDZ,1.14,104,-76.34645631,
cc-pVDZ,1.14,105,-76.34610994,
cc-pVDZ,1.14,106,-76.34572124,
cc-pVDZ,1.14,107,-76.34529078,
cc-pVDZ,1.14,108,-76.34481916,
cc-pVDZ,1.14,109,-76.34430698,
cc-pVDZ,1.14,110,-76.34375483,
cc-pVDZ,1.14,111,-76.34316334,
cc-pVDZ,1.14,112,-76.34253311,
cc-pVDZ,1.14,113,-76.34186478,
cc-pVDZ,1.16,95,-76.3405174,
cc-pVDZ,1.16,96,-76.3405521,
cc-pVDZ,1.16,97,-76.34054048,
cc-pVDZ,1.16,98,-76.34048306,
cc-pVDZ,1.16,99,-76.34038036,
cc-pVDZ,1.16,100,-76.34023287,
cc-pVDZ,1.16,101,-76.34004113,
cc-pVDZ,1.16,102,-76.33980562,
cc-pVDZ,1.16,103,-76.33952688,
cc-pVDZ,1.16,104,-76.3392054,
cc-pVDZ,1.16,105,-76.33884169,
cc-pVDZ,1.16,106,-76.33843628,
cc-pVDZ,1.16,107,-76.33798969,
cc-pVDZ,1.16,108,-76.33750243,
cc-pVDZ,1.16,109,-76.33697505,
cc-pVDZ,1.16,110,-76.33640809,
cc-pVDZ,1.16,111,-76.3358021,
cc-pVDZ,1.16,112,-76.33515763,
cc-pVDZ,1.16,113,-76.33447526,
cc-pVDZ,1.18,95,-76.3331271,
cc-pVDZ,1.18,96,-76.33313867,
cc-pVDZ,1.18,97,-76.33310506,
cc-pVDZ,1.18,98,-76.33302672,
cc-pVDZ,1.18,99,-76.33290411,
cc-pVDZ,1.18,100,-76.33273768,
cc-pVDZ,1.18,101,-76.33252787,
cc-pVDZ,1.18,102,-76.33227515,
cc-pVDZ,1.18,103,-76.33197995,
cc-pVDZ,1.18,104,-76.33164274,
cc-pVDZ,1.18,105,-76.33126397,
cc-pVDZ,1.18,106,-76.33084409,
cc-pVDZ,1.18,107,-76.33038357,
cc-pVDZ,1.18,108,-76.32988287,
cc-pVDZ,1.18,109,-76.32934247,
cc-pVDZ,1.18,110,-76.32876285,
cc-pVDZ,1.18,111,-76.3281445,
